Time(s) Column1 Column2 Y
4.25 0.329285 -0.00201001 0.329285
4.26 0.329265 -0.00184837 0.329265
4.27 0.329247 -0.00168936 0.329247
4.28 0.32923 -0.00153298 0.32923
4.29 0.329215 -0.00137921 0.329215
4.3 0.329201 -0.00122806 0.329201
4.31 0.329188 -0.00107952 0.329188
4.32 0.329178 -0.000933586 0.329178
4.33 0.329168 -0.000790244 0.329168
4.34 0.32916 -0.000649488 0.32916
4.35 0.329154 -0.00051131 0.329154
4.36 0.329149 -0.000375701 0.329149
4.37 0.329145 -0.000242651 0.329145
4.38 0.329143 -0.000112149 0.329143
4.39 0.329141 1.58156e-05 0.329141
4.4 0.329142 0.000141255 0.329142
4.41 0.329143 0.00026418 0.329143
4.42 0.329146 0.000384605 0.329146
4.43 0.32915 0.000502542 0.32915
4.44 0.329155 0.000618004 0.329155
4.45 0.329161 0.000731007 0.329161
4.46 0.329168 0.000841564 0.329168
4.47 0.329176 0.000949691 0.329176
4.48 0.329186 0.0010554 0.329186
4.49 0.329197 0.00115872 0.329197
4.5 0.329208 0.00125965 0.329208
4.51 0.329221 0.00135821 0.329221
4.52 0.329234 0.00145442 0.329234
4.53 0.329249 0.00154831 0.329249
4.54 0.329264 0.00163987 0.329264
4.55 0.329281 0.00172915 0.329281
4.56 0.329298 0.00181614 0.329298
4.57 0.329316 0.00190088 0.329316
4.58 0.329335 0.00198338 0.329335
4.59 0.329355 0.00206365 0.329355
4.6 0.329376 0.00214173 0.329376
4.61 0.329397 0.00221763 0.329397
4.62 0.329419 0.00229136 0.329419
4.63 0.329442 0.00236296 0.329442
4.64 0.329466 0.00243243 0.329466
4.65 0.32949 0.00249981 0.32949
4.66 0.329515 0.00256511 0.329515
4.67 0.329541 0.00262836 0.329541
4.68 0.329567 0.00268957 0.329567
4.69 0.329594 0.00274876 0.329594
4.7 0.329621 0.00280597 0.329621
4.71 0.329649 0.00286121 0.329649
4.72 0.329678 0.0029145 0.329678
4.73 0.329707 0.00296587 0.329707
4.74 0.329737 0.00301533 0.329737
4.75 0.329767 0.00306292 0.329767
4.76 0.329798 0.00310865 0.329798
4.77 0.329829 0.00315254 0.329829
4.78 0.32986 0.00319463 0.32986
4.79 0.329892 0.00323493 0.329892
4.8 0.329925 0.00327346 0.329925
4.81 0.329957 0.00331025 0.329957
4.82 0.32999 0.00334533 0.32999
4.83 0.330024 0.00337871 0.330024
4.84 0.330058 0.00341042 0.330058
4.85 0.330092 0.00344048 0.330092
4.86 0.330126 0.00346892 0.330126
4.87 0.330161 0.00349575 0.330161
4.88 0.330196 0.00352101 0.330196
4.89 0.330231 0.00354472 0.330231
4.9 0.330266 0.00356689 0.330266
4.91 0.330302 0.00358756 0.330302
4.92 0.330338 0.00360674 0.330338
4.93 0.330374 0.00362447 0.330374
4.94 0.33041 0.00364076 0.33041
4.95 0.330447 0.00365563 0.330447
4.96 0.330483 0.00366911 0.330483
4.97 0.33052 0.00368123 0.33052
4.98 0.330557 0.00369201 0.330557
4.99 0.330594 0.00370146 0.330594
5 0.330631 0.00370962 0.330631
5.01 0.330668 0.00371651 0.330668
5.02 0.330705 0.00372214 0.330705
5.03 0.330742 0.00372655 0.330742
5.04 0.330779 0.00372975 0.330779
5.05 0.330817 0.00373177 0.330817
5.06 0.330854 0.00373263 0.330854
5.07 0.330891 0.00373236 0.330891
5.08 0.330929 0.00373097 0.330929
5.09 0.330966 0.00372848 0.330966
5.1 0.331003 0.00372493 0.331003
5.11 0.331041 0.00372033 0.331041
5.12 0.331078 0.00371471 0.331078
5.13 0.331115 0.00370808 0.331115
5.14 0.331152 0.00370047 0.331152
5.15 0.331189 0.0036919 0.331189
5.16 0.331226 0.00368239 0.331226
5.17 0.331263 0.00367196 0.331263
5.18 0.3313 0.00366064 0.3313
5.19 0.331336 0.00364844 0.331336
5.2 0.331373 0.00363539 0.331373
5.21 0.331409 0.00362151 0.331409
5.22 0.331445 0.00360681 0.331445
5.23 0.331481 0.00359132 0.331481
5.24 0.331517 0.00357505 0.331517
5.25 0.331553 0.00355804 0.331553
5.26 0.331588 0.00354029 0.331588
5.27 0.331624 0.00352183 0.331624
5.28 0.331659 0.00350268 0.331659
5.29 0.331694 0.00348285 0.331694
5.3 0.331729 0.00346237 0.331729
5.31 0.331764 0.00344125 0.331764
5.32 0.331798 0.00341952 0.331798
5.33 0.331832 0.00339719 0.331832
5.34 0.331866 0.00337428 0.331866
5.35 0.3319 0.00335081 0.3319
5.36 0.331933 0.0033268 0.331933
5.37 0.331967 0.00330226 0.331967
5.38 0.332 0.00327722 0.332
5.39 0.332032 0.00325168 0.332032
5.4 0.332065 0.00322567 0.332065
5.41 0.332097 0.00319921 0.332097
5.42 0.332129 0.00317231 0.332129
5.43 0.332161 0.00314499 0.332161
5.44 0.332192 0.00311726 0.332192
5.45 0.332224 0.00308914 0.332224
5.46 0.332254 0.00306065 0.332254
5.47 0.332285 0.0030318 0.332285
5.48 0.332315 0.00300262 0.332315
5.49 0.332345 0.0029731 0.332345
5.5 0.332375 0.00294328 0.332375
5.51 0.332405 0.00291316 0.332405
5.52 0.332434 0.00288276 0.332434
5.53 0.332463 0.00285209 0.332463
5.54 0.332491 0.00282117 0.332491
5.55 0.332519 0.00279002 0.332519
5.56 0.332547 0.00275864 0.332547
5.57 0.332575 0.00272705 0.332575
5.58 0.332602 0.00269527 0.332602
5.59 0.332629 0.0026633 0.332629
5.6 0.332656 0.00263116 0.332656
5.61 0.332682 0.00259887 0.332682
5.62 0.332708 0.00256644 0.332708
5.63 0.332734 0.00253387 0.332734
5.64 0.332759 0.00250119 0.332759
5.65 0.332784 0.00246839 0.332784
5.66 0.332809 0.00243551 0.332809
5.67 0.332833 0.00240254 0.332833
5.68 0.332857 0.0023695 0.332857
5.69 0.332881 0.0023364 0.332881
5.7 0.332904 0.00230325 0.332904
5.71 0.332927 0.00227006 0.332927
5.72 0.33295 0.00223685 0.33295
5.73 0.332972 0.00220362 0.332972
5.74 0.332994 0.00217038 0.332994
5.75 0.333016 0.00213715 0.333016
5.76 0.333037 0.00210393 0.333037
5.77 0.333058 0.00207073 0.333058
5.78 0.333079 0.00203757 0.333079
5.79 0.333099 0.00200445 0.333099
5.8 0.333119 0.00197138 0.333119
5.81 0.333139 0.00193837 0.333139
5.82 0.333159 0.00190542 0.333159
5.83 0.333178 0.00187256 0.333178
5.84 0.333196 0.00183978 0.333196
5.85 0.333215 0.0018071 0.333215
5.86 0.333233 0.00177451 0.333233
5.87 0.333251 0.00174204 0.333251
5.88 0.333268 0.00170968 0.333268
5.89 0.333285 0.00167745 0.333285
5.9 0.333302 0.00164535 0.333302
5.91 0.333318 0.00161339 0.333318
5.92 0.333334 0.00158157 0.333334
5.93 0.33335 0.00154991 0.33335
5.94 0.333366 0.0015184 0.333366
5.95 0.333381 0.00148706 0.333381
5.96 0.333396 0.0014559 0.333396
5.97 0.33341 0.0014249 0.33341
5.98 0.333425 0.0013941 0.333425
5.99 0.333439 0.00136348 0.333439
6 0.333452 0.00133305 0.333452
6.01 0.333465 0.00130283 0.333465
6.02 0.333479 0.0012728 0.333479
6.03 0.333491 0.00124299 0.333491
6.04 0.333504 0.0012134 0.333504
6.05 0.333516 0.00118402 0.333516
6.06 0.333528 0.00115486 0.333528
6.07 0.333539 0.00112594 0.333539
6.08 0.33355 0.00109724 0.33355
6.09 0.333561 0.00106878 0.333561
6.1 0.333572 0.00104056 0.333572
6.11 0.333583 0.00101259 0.333583
6.12 0.333593 0.000984861 0.333593
6.13 0.333602 0.000957385 0.333602
6.14 0.333612 0.000930162 0.333612
6.15 0.333621 0.000903197 0.333621
6.16 0.33363 0.000876491 0.33363
6.17 0.333639 0.000850049 0.333639
6.18 0.333648 0.000823873 0.333648
6.19 0.333656 0.000797966 0.333656
6.2 0.333664 0.000772329 0.333664
6.21 0.333672 0.000746966 0.333672
6.22 0.333679 0.000721878 0.333679
6.23 0.333686 0.000697068 0.333686
6.24 0.333693 0.000672538 0.333693
6.25 0.3337 0.000648289 0.3337
6.26 0.333706 0.000624323 0.333706
6.27 0.333713 0.000600642 0.333713
6.28 0.333719 0.000577248 0.333719
6.29 0.333725 0.000554141 0.333725
6.3 0.33373 0.000531323 0.33373
6.31 0.333735 0.000508795 0.333735
6.32 0.33374 0.000486558 0.33374
6.33 0.333745 0.000464614 0.333745
6.34 0.33375 0.000442962 0.33375
6.35 0.333754 0.000421604 0.333754
6.36 0.333759 0.000400541 0.333759
6.37 0.333763 0.000379772 0.333763
6.38 0.333766 0.000359298 0.333766
6.39 0.33377 0.00033912 0.33377
6.4 0.333773 0.000319237 0.333773
6.41 0.333777 0.000299651 0.333777
6.42 0.33378 0.000280361 0.33378
6.43 0.333782 0.000261366 0.333782
6.44 0.333785 0.000242667 0.333785
6.45 0.333787 0.000224264 0.333787
6.46 0.33379 0.000206156 0.33379
6.47 0.333792 0.000188343 0.333792
6.48 0.333794 0.000170824 0.333794
6.49 0.333795 0.000153599 0.333795
6.5 0.333797 0.000136668 0.333797
6.51 0.333798 0.000120029 0.333798
6.52 0.333799 0.000103682 0.333799
6.53 0.3338 8.76253e-05 0.3338
6.54 0.333801 7.18591e-05 0.333801
6.55 0.333802 5.63818e-05 0.333802
6.56 0.333803 4.11926e-05 0.333803
6.57 0.333803 2.62902e-05 0.333803
6.58 0.333803 1.16735e-05 0.333803
6.59 0.333803 -2.65869e-06 0.333803
6.6 0.333803 -1.67078e-05 0.333803
6.61 0.333803 -3.04751e-05 0.333803
6.62 0.333803 -4.3962e-05 0.333803
6.63 0.333802 -5.71701e-05 0.333802
6.64 0.333802 -7.01008e-05 0.333802
6.65 0.333801 -8.27558e-05 0.333801
6.66 0.3338 -9.51366e-05 0.3338
6.67 0.333799 -0.000107245 0.333799
6.68 0.333798 -0.000119083 0.333798
6.69 0.333797 -0.000130651 0.333797
6.7 0.333796 -0.000141953 0.333796
6.71 0.333794 -0.000152989 0.333794
6.72 0.333793 -0.000163763 0.333793
6.73 0.333791 -0.000174274 0.333791
6.74 0.33379 -0.000184527 0.33379
6.75 0.333788 -0.000194522 0.333788
6.76 0.333786 -0.000204262 0.333786
6.77 0.333784 -0.000213748 0.333784
6.78 0.333782 -0.000222984 0.333782
6.79 0.333779 -0.000231971 0.333779
6.8 0.333777 -0.000240711 0.333777
6.81 0.333775 -0.000249207 0.333775
6.82 0.333772 -0.00025746 0.333772
6.83 0.33377 -0.000265474 0.33377
6.84 0.333767 -0.00027325 0.333767
6.85 0.333764 -0.000280791 0.333764
6.86 0.333761 -0.0002881 0.333761
6.87 0.333758 -0.000295178 0.333758
